id	std_type	description	lowgrade	highgrade	sCode
147	3d	"Some events happen very quickly; others occur very slowly, over a time period much longer than one can observe."	2	2	S2470724
149	parent	Earth's Systems	2	2	S2454365
150	child	Compare multiple solutions designed to slow or prevent wind or water from changing the shape of the land.	2	2	S2454412
151	3d	Compare multiple solutions to a problem.	2	2	S2470736
152	3d	Wind and water can change the shape of the land.	2	2	S2470743
154	3d	Things may change slowly or rapidly.	2	2	S2470726
155	3d	Developing and using technology has impacts on the natural world.	2	2	S2470753
156	3d	Scientists study the natural and material world.	2	2	S2470754
157	child	Develop a model to represent the shapes and kinds of land and bodies of water in an area.	2	2	S2454413
158	3d	Develop a model to represent patterns in the natural world.	2	2	S2470734
159	3d	Maps show where things are located. One can map the shapes and kinds of land and water in any area.	2	2	S2470744
161	child	Obtain information to identify where water is found on Earth and that it can be solid or liquid.	2	2	S2454414
162	3d	"Obtain information using various texts, text features (e.g., headings, tables of contents, glossaries, electronic menus, icons), and other media that will be useful in answering a scientific question."	2	2	S2470738
163	3d	"Water is found in the ocean, rivers, lakes, and ponds. Water exists as solid ice and in liquid form."	2	2	S2470745
164	3d	Patterns in the natural world can be observed.	2	2	S2470751
165	parent	Engineering Design	0	2	S2454366
166	child	"Ask questions, make observations, and gather information about a situation people want to change to define a simple problem that can be solved through the development of a new or improved object or tool."	0	2	S2454416
167	3d	Ask questions based on observations to find more information about the natural and/or designed world(s).	0	2	S2470761
168	3d	Define a simple problem that can be solved through the development of a new or improved object or tool.	0	2	S2470762
169	3d	A situation that people want to change or create can be approached as a problem to be solved through engineering.	0	2	S2470771
170	3d	"Asking questions, making observations, and gathering information are helpful in thinking about problems."	0	2	S2470571
171	3d	"Before beginning to design a solution, it is important to clearly understand the problem."	0	2	S2470773
172	child	"Develop a simple sketch, drawing, or physical model to illustrate how the shape of an object helps it function as needed to solve a given problem."	0	2	S2454417
173	3d	Develop a simple model based on evidence to represent a proposed object or tool.	2	2	S2470696
174	3d	"Designs can be conveyed through sketches, drawings, or physical models. These representations are useful in communicating ideas for a problem's solutions to other people."	0	0	S2470572
175	3d	The shape and stability of structures of natural and designed objects are related to their function(s).	0	2	S2470626
176	child	Analyze data from tests of two objects designed to solve the same problem to compare the strengths and weaknesses of how each performs.	0	2	S2454418
177	3d	Analyze data from tests of an object or tool to determine if it works as intended.	0	2	S2468134
178	3d	"Because there is always more than one possible solution to a problem, it is useful to compare and test designs."	0	2	S2470746
179	parent	Motion and Stability: Forces and Interactions	3	3	S2454367
180	child	Plan and conduct an investigation to provide evidence of the effects of balanced and unbalanced forces on the motion of an object.	3	3	S2454420
182	3d	"Science investigations use a variety of methods, tools, and techniques."	3	3	S2470792
183	3d	"Each force acts on one particular object and has both strength and a direction. An object at rest typically has multiple forces acting on it, but they add to give zero net force on the object. Forces that do not sum to zero can cause changes in the object's speed or direction of motion. (Boundary: Qualitative and conceptual, but not quantitative addition of forces are used at this level.)"	3	3	S2470795
184	3d	Objects in contact exert forces on each other.	3	3	S2470797
186	child	Make observations and/or measurements of an object's motion to provide evidence that a pattern can be used to predict future motion.	3	3	S2454421
187	3d	Make observations and/or measurements to produce data to serve as the basis for evidence for an explanation of a phenomenon or test a design solution.	3	3	S2470790
189	3d	"The patterns of an object's motion in various situations can be observed and measured; when that past motion exhibits a regular pattern, future motion can be predicted from it. (Boundary: Technical terms, such as magnitude, velocity, momentum, and vector quantity, are not introduced at this level, but the concept that some quantities need both size and direction to be described is developed.)"	3	3	S2470796
191	child	Ask questions to determine cause and effect relationships of electric or magnetic interactions between two objects not in contact with each other.	3	3	S2454422
192	3d	Ask questions that can be investigated based on patterns such as cause and effect relationships.	3	3	S2470786
195	child	Define a simple design problem that can be solved by applying scientific ideas about magnets.	3	3	S2454423
196	3d	Define a simple problem that can be solved through the development of a new or improved object or tool.	3	3	S2470787
197	3d	"Electric, and magnetic forces between a pair of objects do not require that the objects be in contact. The sizes of the forces in each situation depend on the properties of the objects and their distances apart and, for forces between two magnets, on their orientation relative to each other."	3	3	S2470798
198	3d	"Scientific discoveries about the natural world can often lead to new and improved technologies, which are developed through the engineering design process."	3	3	S2470805
199	parent	From Molecules to Organisms: Structures and Processes	3	3	S2454368
200	child	"Develop models to describe that organisms have unique and diverse life cycles but all have in common birth, growth, reproduction, and death."	3	3	S2454428
203	3d	Reproduction is essential to the continued existence of every kind of organism. Plants and animals have unique and diverse life cycles.	3	3	S2470815
205	parent	"Ecosystems: Interactions, Energy, and Dynamics"	3	3	S2454369
206	child	Construct an argument that some animals form groups that help members survive.	3	3	S2454424
208	3d	"Being part of a group helps animals obtain food, defend themselves, and cope with changes. Groups may serve different functions and vary dramatically in size (Note: Moved from K-2)."	3	3	S2470825
210	parent	Heredity: Inheritance and Variation of Traits	3	3	S2454370
211	child	Analyze and interpret data to provide evidence that plants and animals have traits inherited from parents and that variation of these traits exists in a group of similar organisms.	3	3	S2454430
213	3d	Many characteristics of organisms are inherited from their parents.	3	3	S2470839
214	3d	Different organisms vary in how they look and function because they have different inherited information.	3	3	S2470841
216	child	Use evidence to support the explanation that traits can be influenced by the environment.	3	3	S2454431
217	3d	"Use evidence (e.g., observations, patterns) to support an explanation."	3	3	S2470836
218	3d	"Other characteristics result from individuals' interactions with the environment, which can range from diet to learning. Many characteristics involve both inheritance and environment."	3	3	S2470840
219	3d	The environment also affects the traits that an organism develops.	3	3	S2470842
221	parent	Biological Evolution: Unity and Diversity	3	3	S2454371
222	child	Analyze and interpret data from fossils to provide evidence of the organisms and the environments in which they lived long ago.	3	3	S2454425
224	3d	Some kinds of plants and animals that once lived on Earth are no longer found anywhere.	3	3	S2470866
225	3d	Fossils provide evidence about the types of organisms that lived long ago and also about the nature of their environments.	3	3	S2470867
226	3d	Observable phenomena exist from very short to very long time periods.	3	3	S2470877
228	child	"Use evidence to construct an explanation for how the variations in characteristics among individuals of the same species may provide advantages in surviving, finding mates, and reproducing."	3	3	S2454432
229	3d	"Use evidence (e.g., observations, patterns) to construct an explanation."	3	3	S2470857
230	3d	"Sometimes the differences in characteristics between individuals of the same species provide advantages in surviving, finding mates, and reproducing."	3	3	S2470868
232	child	"Construct an argument with evidence that in a particular habitat some organisms can survive well, some survive less well, and some cannot survive at all."	3	3	S2454426
233	3d	Construct an argument with evidence.	3	3	S2470858
234	3d	"For any particular environment, some kinds of organisms survive well, some survive less well, and some cannot survive at all."	3	3	S2470869
237	child	Make a claim about the merit of a solution to a problem caused when the environment changes and the types of plants and animals that live there may change.	3	3	S2454427
239	3d	"When the environment changes in ways that affect a place's physical characteristics, temperature, or availability of resources, some organisms survive and reproduce, others move to new locations, yet others move into the transformed environment, and some die."	3	3	S2470865
240	3d	"Populations live in a variety of habitats, and change in those habitats affects the organisms living there."	3	3	S2470870
242	parent	Earth's Systems	3	3	S2454372
243	child	Represent data in tables and graphical displays to describe typical weather conditions expected during a particular season.	3	3	S2454433
244	3d	Represent data in tables and various graphical displays (bar graphs and pictographs) to reveal patterns that indicate relationships.	3	3	S2470887
245	3d	Scientists record patterns of the weather across different times and areas so that they can make predictions about what kind of weather might happen next.	3	3	S2470891
247	child	Obtain and combine information to describe climates in different regions of the world.	3	3	S2454434
249	3d	Climate describes a range of an area's typical weather conditions and the extent to which those conditions vary over years.	3	3	S2470892
250	3d	Patterns of change can be used to make predictions.	3	3	S2470802
251	parent	Earth and Human Activity	3	3	S2454373
252	child	Make a claim about the merit of a design solution that reduces the impacts of a weather-related hazard.	3	3	S2454435
253	3d	Make a claim about the merit of a solution to a problem by citing relevant evidence about how it meets the criteria and constraints of the problem.	3	3	S2470859
254	3d	A variety of natural hazards result from natural processes. Humans cannot eliminate natural hazards but can take steps to reduce their impacts.	3	3	S2470902
256	3d	"Engineers improve existing technologies or develop new ones to increase their benefits (e.g., better artificial limbs), decrease known risks (e.g., seatbelts in cars), and meet societal demands (e.g., cell phones)."	3	3	S2470907
258	parent	Energy	4	4	S2454374
259	child	Use evidence to construct an explanation relating the speed of an object to the energy of that object.	4	4	S2454437
260	3d	"Use evidence (e.g., measurements, observations, patterns) to construct an explanation."	4	4	S2470920
261	3d	"The faster a given object is moving, the more energy it possesses."	4	4	S2470927
263	child	"Make observations to provide evidence that energy can be transferred from place to place by sound, light, heat, and electric currents."	4	4	S2454438
264	3d	Make observations to produce data to serve as the basis for evidence for an explanation of a phenomenon or test a design solution.	4	4	S2470918
267	3d	Light also transfers energy from place to place.	4	4	S2470930
270	child	Ask questions and predict outcomes about the changes in energy that occur when objects collide.	4	4	S2454439
271	3d	Ask questions that can be investigated and predict reasonable outcomes based on patterns such as cause and effect relationships.	4	4	S2470916
272	3d	"Energy can be moved from place to place by moving objects or through sound, light, or electric currents."	4	4	S2470928
273	3d	"Energy is present whenever there are moving objects, sound, light, or heat. When objects collide, energy can be transferred from one object to another, thereby changing their motion. In such collisions, some energy is typically also transferred to the surrounding air; as a result, the air gets heated and sound is produced."	4	4	S2470929
274	3d	"When objects collide, the contact forces transfer energy so as to change the objects' motions."	4	4	S2470932
276	child	"Apply scientific ideas to design, test, and refine a device that converts energy from one form to another."	4	4	S2454440
277	3d	Apply scientific ideas to solve design problems.	4	4	S2470921
278	3d	"Energy can also be transferred from place to place by electric currents, which can then be used locally to produce motion, sound, heat, or light. The currents may have been produced to begin with by transforming the energy of motion into electrical energy."	4	4	S2470931
279	3d	The expression \‘produce energy\’; typically refers to the conversion of stored energy into a desired form for practical use.	4	4	S2470933
280	3d	Possible solutions to a problem are limited by available materials and resources (constraints). The success of a designed solution is determined by considering the desired features of a solution (criteria). Different proposals for solutions can be compared on the basis of how well each one meets the specified criteria for success or how well each takes the constraints into account.	4	4	S2470934
282	3d	Engineers improve existing technologies or develop new ones.	4	4	S2470939
283	3d	Most scientists and engineers work in teams.	4	4	S2470940
284	3d	Science affects everyday life.	3	4	S2470908
285	parent	Waves and their Applications in Technologies for Information Transfer	4	4	S2454375
286	child	Develop a model of waves to describe patterns in terms of amplitude and wavelength and that waves can cause objects to move.	4	4	S2454443
287	3d	"Develop a model using an analogy, example, or abstract representation to describe a scientific principle."	4	4	S2470949
288	3d	Science findings are based on recognizing patterns.	3	4	S2470791
289	3d	"Waves, which are regular patterns of motion, can be made in water by disturbing the surface. When waves move across the surface of deep water, the water goes up and down in place; there is no net motion in the direction of the wave except when the water meets a beach. (Note: This grade band endpoint was moved from K-2.)"	4	4	S2470958
290	3d	Waves of the same type can differ in amplitude (height of the wave) and wavelength (spacing between wave peaks).	4	4	S2470959
291	3d	Similarities and differences in patterns can be used to sort and classify natural phenomena.	3	4	S2470845
292	child	Develop a model to describe that light reflecting from objects and entering the eye allows objects to be seen.	4	4	S2454445
293	3d	Develop models to describe phenomena.	3	4	S2470811
294	3d	An object can be seen when light reflected from its surface enters the eyes.	4	4	S2470960
295	3d	Cause and effect relationships are routinely identified.	3	4	S2470803
296	child	Generate and compare multiple solutions that use patterns to transfer information.	4	4	S2454444
298	3d	"Digitized information can be transmitted over long distances without significant degradation. High-tech devices, such as computers or cell phones, can receive and decode information, convert it from digitized form to voice, and vice versa."	4	4	S2470961
300	3d	Similarities and differences in patterns can be used to sort and classify designed products.	4	4	S2470967
302	parent	From Molecules to Organisms: Structures and Processes	4	4	S2454376
303	child	"Construct an argument that plants and animals have internal and external structures that function to support survival, growth, behavior, and reproduction."	4	4	S2454446
304	3d	"Construct an argument with evidence, data, and/or a model."	3	4	S2470823
305	3d	"Plants and animals have both internal and external structures that serve various functions in growth, survival, behavior, and reproduction."	4	4	S2470981
307	child	"Use a model to describe that animals' receive different types of information through their senses, process the information in their brain, and respond to the information in different ways."	4	4	S2454447
308	3d	Use a model to test interactions concerning the functioning of a natural system.	4	4	S2470976
309	3d	"Different sense receptors are specialized for particular kinds of information, which may be then processed by the animal's brain. Animals are able to use their perceptions and memories to guide their actions."	4	4	S2470982
311	parent	Earth's Place in the Universe	4	4	S2454377
312	child	Identify evidence from patterns in rock formations and fossils in rock layers to support an explanation for changes in a landscape over time.	4	4	S2454448
313	3d	Identify the evidence that supports particular points in an explanation.	4	4	S2470990
314	3d	"Local, regional, and global patterns of rock formations reveal changes over time due to earth forces, such as earthquakes. The presence and location of certain fossil types indicate the order in which rock layers were formed."	4	4	S2470992
317	parent	Earth's Systems	4	4	S2454378
318	child	"Make observations and/or measurements to provide evidence of the effects of weathering or the rate of erosion by water, ice, wind, or vegetation."	4	4	S2454449
319	3d	Make observations and/or measurements to produce data to serve as the basis for evidence for an explanation of a phenomenon.	4	4	S2471003
320	3d	"Rainfall helps to shape the land and affects the types of living things found in a region. Water, ice, wind, living organisms, and gravity break rocks, soils, and sediments into smaller particles and move them around."	4	4	S2471009
321	3d	Living things affect the physical characteristics of their regions.	4	4	S2471011
323	child	Analyze and interpret data from maps to describe patterns of Earth's features.	4	4	S2454450
324	3d	Analyze and interpret data to make sense of phenomena using logical reasoning.	3	4	S2470834
325	3d	"The locations of mountain ranges, deep ocean trenches, ocean floor structures, earthquakes, and volcanoes occur in patterns. Most earthquakes and volcanoes occur in bands that are often along the boundaries between continents and oceans. Major mountain chains form inside continents or near their edges. Maps can help locate the different land and water features areas of Earth."	4	4	S2471010
326	3d	Patterns can be used as evidence to support an explanation.	4	4	S2470995
327	parent	Earth and Human Activity	4	4	S2467835
328	child	Obtain and combine information to describe that energy and fuels are derived from natural resources and their uses affect the environment.	4	4	S2454441
329	3d	Obtain and combine information from books and other reliable media to explain phenomena.	3	4	S2470889
330	3d	"Energy and fuels that humans use are derived from natural sources, and their use affects the environment in multiple ways. Some resources are renewable over time, and others are not."	4	4	S2471028
332	3d	Knowledge of relevant scientific concepts and research findings is important in engineering.	3	4	S2470879
333	3d	"Over time, people's needs and wants change, as do their demands for new and improved technologies."	4	4	S2471037
334	child	Generate and compare multiple solutions to reduce the impacts of natural Earth processes on humans.	4	4	S2454451
335	3d	Generate and compare multiple solutions to a problem based on how well they meet the criteria and constraints of the design solution.	3	5	S2470952
336	3d	"A variety of hazards result from natural processes (e.g., earthquakes, tsunamis, volcanic eruptions). Humans cannot eliminate the hazards but can take steps to reduce their impacts."	4	4	S2471029
337	3d	Testing a solution involves investigating how well it performs under a range of likely conditions.	4	4	S2471030
340	parent	Matter and Its Interactions	5	5	S2467837
341	child	Develop a model to describe that matter is made of particles too small to be seen.	5	5	S2454452
343	3d	"Matter of any type can be subdivided into particles that are too small to see, but even then the matter still exists and can be detected by other means. A model showing that gases are made from matter particles that are too small to see and are moving freely around in space can explain many observations, including the inflation and shape of a balloon and the effects of air on larger particles or objects."	5	5	S2471054
345	child	"Measure and graph quantities to provide evidence that regardless of the type of change that occurs when heating, cooling, or mixing substances, the total weight of matter is conserved."	5	5	S2454453
346	3d	Measure and graph quantities such as weight to address scientific and engineering questions and problems.	5	5	S2471051
347	3d	"The amount (weight) of matter is conserved when it changes form, even in transitions in which it seems to vanish."	5	5	S2471055
348	3d	"No matter what reaction or change in properties occurs, the total weight of the substances does not change. (Boundary: Mass and weight are not distinguished at this grade level.)"	5	5	S2471058
350	3d	Science assumes consistent patterns in natural systems.	3	5	S2470880
351	child	Make observations and measurements to identify materials based on their properties.	5	5	S2454454
352	3d	Make observations and measurements to produce data to serve as the basis for evidence for an explanation of a phenomenon.	5	5	S2471049
353	3d	"Measurements of a variety of properties can be used to identify materials. (Boundary: At this grade level, mass and weight are not distinguished, and no attempt is made to define the unseen particles or explain the atomic-scale mechanism of evaporation and condensation.)"	5	5	S2471056
354	3d	"Standard units are used to measure and describe physical quantities such as weight, time, temperature, and volume."	5	5	S2471064
355	child	Conduct an investigation to determine whether the mixing of two or more substances results in new substances.	5	5	S2454455
356	3d	"Conduct an investigation collaboratively to produce data to serve as the basis for evidence, using fair tests in which variables are controlled and the number of trials considered."	5	5	S2471048
357	3d	"When two or more different substances are mixed, a new substance with different properties may be formed."	5	5	S2471057
358	3d	"Cause and effect relationships are routinely identified, tested, and used to explain change."	3	5	S2470804
359	parent	Motion and Stability: Forces and Interactions	5	5	S2467839
360	child	Support an argument that the gravitational force exerted by Earth on objects is directed down.	5	5	S2454465
362	3d	The gravitational force of Earth acting on an object near Earth's surface pulls that object toward the planet's center.	5	5	S2471073
363	3d	Cause and effect relationships are routinely identified and used to explain change.	3	5	S2470846
364	parent	Energy	5	5	S2467840
365	child	"Use models to describe that energy in animals' food (used for body repair, growth, motion, and to maintain body warmth) was once energy from the sun."	5	5	S2454457
366	3d	Use models to describe phenomena.	5	5	S2471081
367	3d	The energy released [from] food was once energy from the sun that was captured by plants in the chemical process that forms plant matter (from air and water).	5	5	S2471084
368	3d	Food provides animals with the materials they need for body repair and growth and the energy they need to maintain body warmth and for motion.	5	5	S2471085
369	3d	Energy can be transferred in various ways and between objects.	4	5	S2470938
370	parent	From Molecules to Organisms: Structures and Processes	5	5	S2467841
371	child	Support an argument that plants get the materials they need for growth chiefly from air and water.	5	5	S2454458
373	3d	Plants acquire their material for growth chiefly from air and water.	5	5	S2471095
374	3d	"Matter is transported into, out of, and within systems."	5	5	S2471097
375	parent	"Ecosystems: Interactions, Energy, and Dynamics"	5	5	S2467842
376	child	"Develop a model to describe the movement of matter among plants, animals, decomposers, and the environment."	5	5	S2454459
377	3d	Develop a model to describe phenomena.	4	5	S2471046
378	3d	Science explanations describe the mechanisms for natural events.	5	5	S2471105
379	3d	"The food of almost any kind of animal can be traced back to plants. Organisms are related in food webs in which some animals eat plants for food and other animals eat the animals that eat plants. Some organisms, such as fungi and bacteria, break down dead organisms (both plants or plants parts and animals) and therefore operate as decomposers. Decomposition eventually restores (recycles) some materials back to the soil. Organisms can survive only in environments in which their particular needs are met. A healthy ecosystem is one in which multiple species of different types are each able to meet their needs in a relatively stable web of life. Newly introduced species can damage the balance of an ecosystem."	5	5	S2471108
380	3d	"Matter cycles between the air and soil and among plants, animals, and microbes as these organisms live and die. Organisms obtain gases, and water, from the environment, and release waste matter (gas, liquid, or solid) back into the environment."	5	5	S2471109
382	parent	Earth's Place in the Universe	5	5	S2467844
383	child	Support an argument that the apparent brightness of the sun and stars is due to their relative distances from Earth.	5	5	S2454466
384	3d	"Support an argument with evidence, data, or a model."	5	5	S2471071
385	3d	The sun is a star that appears larger and brighter than other stars because it is closer. Stars range greatly in their distance from Earth.	5	5	S2471123
386	3d	Natural objects exist from the very small to the immensely large.	5	5	S2471063
387	child	"Represent data in graphical displays to reveal patterns of daily changes in length and direction of shadows, day and night, and the seasonal appearance of some stars in the night sky."	5	5	S2454467
388	3d	"Represent data in graphical displays (bar graphs, pictographs and/or pie charts) to reveal patterns that indicate relationships."	5	5	S2471118
