sCode	description	category
S2471388	Phenomena that can be observed at one scale may not be observable at another scale.	"Scale, Proportion, and Quantity"
S2471392	"Complex and microscopic structures and systems can be visualized, modeled, and used to describe how their function depends on the relationships among its parts, therefore complex natural structures/systems can be analyzed to determine how they function."	Structure and Function
S2471389	Systems may interact with other systems; they may have sub-systems and be a part of larger complex systems.	Systems and System Models
S2471396	"Scientists and engineers are guided by habits of mind such as intellectual honesty, tolerance of ambiguity, skepticism, and openness to new ideas."	Science is a Human Endeavor 
S2471387	"Phenomena may have more than one cause, and some cause and effect relationships in systems can only be described using probability."	Cause and Effect
S2471391	"Within a natural system, the transfer of energy drives the motion and/or cycling of matter."	Energy and Matter
S2471386	Cause and effect relationships may be used to predict phenomena in natural systems.	Cause and Effect
S2471410	Patterns can be used to identify cause and effect relationships.	Patterns
S2471438	The transfer of energy can be tracked as energy flows through a natural system.	Energy and Matter
S2471498	Science assumes that objects and events in natural systems occur in consistent patterns that are understandable through measurement and observation.	Scientific Knowledge Assumes an Order and Consistency in Natural Systems
S2471439	Small changes in one part of a system might cause large changes in another part.	Stability and Change
S2471442	Scientific knowledge can describe the consequences of actions but does not necessarily prescribe the decisions that society takes.	Science Addresses Questions About the Natural and Material World
S2471460	"Complex and microscopic structures and systems can be visualized, modeled, and used to describe how their function depends on the shapes, composition, and relationships among its parts, therefore complex natural structures/systems can be analyzed to determine how they function."	Structure and Function
S2471495	"Graphs, charts, and images can be used to identify patterns in data."	Patterns
S2471528	Models can be used to represent systems and their interactions.	Systems and System Models
S2471577	"Explanations of stability and change in natural or designed systems can be constructed by examining the changes over time and processes at different scales, including the atomic scale."	Stability and Change
S2471572	Patterns in rates of change and other numerical relationships can provide information about natural systems.	Patterns
S2471576	"Within a natural or designed system, the transfer of energy drives the motion and/or cycling of matter."	Energy and Matter
S2471575	"Models can be used to represent systems and their interactions—such as inputs, processes and outputs— and energy, matter, and information flows within systems."	Systems and System Models
S2471612	"All human activity draws on natural resources and has both short and long-term consequences, positive as well as negative, for the health of people and the natural environment."	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2471609	"Relationships can be classified as causal or correlational, and correlation does not necessarily imply causation."	Cause and Effect
S2471611	Stability might be disturbed either by sudden events or gradual changes that accumulate over time.	Stability and Change
S2471678	Different patterns may be observed at each of the scales at which a system is studied and can provide evidence for causality in explanations of phenomena.	Patterns
S2471681	"Changes of energy and matter in a system can be described in terms of energy and matter flows into, out of, and within that system."	Energy and Matter
S2471682	Much of science deals with constructing explanations of how things change and how they remain stable.	Stability and Change
S2471680	The total amount of energy and matter in closed systems is conserved.	Energy and Matter
S2471683	Science assumes the universe is a vast single system in which basic laws are consistent.	Scientific Knowledge Assumes an Order and Consistency in Natural Systems
S2471679	"In nuclear processes, atoms are not conserved, but the total number of protons plus neutrons is conserved."	Energy and Matter
S2471724	Empirical evidence is required to differentiate between cause and correlation and make claims about specific causes and effects.	Cause and Effect
S2471726	"When investigating or describing a system, the boundaries and initial conditions of the system need to be defined."	Systems and System Models
S2471725	Systems can be designed to cause a desired effect.	Cause and Effect
S2471727	"Investigating or designing new systems or structures requires a detailed examination of the properties of different materials, the structures of different components, and connections of components to reveal its function and/or solve a problem."	Structure and Function
S2471766	"Models can be used to predict the behavior of a system, but these predictions have limited precision and reliability due to the assumptions and approximations inherent in models."	Systems and System Models
S2471848	"Energy cannot be created or destroyed—it only moves between one place and another place, between objects and/or fields, or between systems."	Energy and Matter
S2471769	Modern civilization depends on major technological systems. Engineers continuously modify these technological systems by applying scientific knowledge and engineering design practices to increase benefits while decreasing costs and risks.	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2471765	"When investigating or describing a system, the boundaries and initial conditions of the system need to be defined and their inputs and outputs analyzed and described using models."	Systems and System Models
S2471764	Cause and effect relationships can be suggested and predicted for complex natural and human designed systems by examining what is known about smaller scale mechanisms within the system.	Cause and Effect
S2471810	Systems can be designed for greater or lesser stability.	Stability and Change
S2471812	Modern civilization depends on major technological systems.	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2471813	Engineers continuously modify these technological systems by applying scientific knowledge and engineering design practices to increase benefits while decreasing costs and risks.	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2471809	"Models (e.g., physical, mathematical, computer models) can be used to simulate systems and interactions—including energy, matter, and information flows—within and between systems at different scales."	Systems and System Models
S2471811	Science and engineering complement each other in the cycle known as research and development (R&amp;D).	"Interdependence of Science, Engineering, and Technology"
S2471850	Feedback (negative or positive) can stabilize or destabilize a system.	Stability and Change
S2471897	"The significance of a phenomenon is dependent on the scale, proportion, and quantity at which it occurs."	"Scale, Proportion, and Quantity"
S2471898	Using the concept of orders of magnitude allows one to understand how a model at one scale relates to a model at another scale.	"Scale, Proportion, and Quantity"
S2471901	Energy drives the cycling of matter within and between systems.	Energy and Matter
S2471926	"Algebraic thinking is used to examine scientific data and predict the effect of a change in one variable on another (e.g., linear growth vs. exponential growth)."	"Scale, Proportion, and Quantity"
S2471927	Technological advances have influenced the progress of science and science has influenced advances in technology.	Science is a Human Endeavor 
S2471928	Science and engineering are influenced by society and society is influenced by science and engineering.	Science is a Human Endeavor 
S2471970	Scientific knowledge is based on the assumption that natural laws operate today as they did in the past and they will continue to do so in the future.	Scientific Knowledge Assumes an Order and Consistency in Natural Systems
S2472023	"Science and engineering complement each other in the cycle known as research and development (R&amp;D). Many R&amp;D projects may involve scientists, engineers, and others with wide ranges of expertise."	"Interdependence of Science, Engineering, and Technology"
S2472017	Empirical evidence is needed to identify patterns.	Patterns
S2472077	Change and rates of change can be quantified and modeled over very short or very long periods of time. Some system changes are irreversible.	Stability and Change
S2472080	"New technologies can have deep impacts on society and the environment, including some that were not anticipated. Analysis of costs and benefits is a critical aspect of decisions about technology."	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2472075	"The functions and properties of natural and designed objects and systems can be inferred from their overall structure, the way their components are shaped and used, and the molecular substructures of its various materials."	Structure and Function
S2472131	Analysis of costs and benefits is a critical aspect of decisions about technology.	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2472133	"Science and technology may raise ethical issues for which science, by itself, does not provide answers and solutions."	Science Addresses Questions About the Natural and Material World
S2472134	"Science knowledge indicates what can happen in natural systems—not what should happen. The latter involves ethics, values, and human decisions about the use of knowledge."	Science Addresses Questions About the Natural and Material World
S2472135	"Many decisions are not made using science alone, but rely on social and cultural contexts to resolve issues."	Science Addresses Questions About the Natural and Material World
S2472130	"New technologies can have deep impacts on society and the environment, including some that were not anticipated."	"Influence of Engineering, Technology, and Science on Society and the Natural World"
S2472132	"Science is a result of human endeavors, imagination, and creativity."	Science is a Human Endeavor 
S2472125	Empirical evidence is required to differentiate between cause and correlation and make claims about specific causes and effects.	Cause and Effect
